"candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_record_id","source_url","source_license","duplicate_cluster_id","duplicate_candidate_ids","initial_review_status","final_decision","corrected_name","standardized_categories","second_source_url","verified_by","verified_at","review_notes"
"wikidata-Q6956453-kurunegala","Nā Uyana Monastery","7.7378472","80.516575","Kurunegala","vihara","Wikidata","Q6956453","https://www.wikidata.org/wiki/Q6956453","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q47516796-monaragala","Keheliya Raja Maha Vihara","6.6655","81.1270556","Monaragala","Buddhist temple","Wikidata","Q47516796","https://www.wikidata.org/wiki/Q47516796","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20987409-nuwara-eliya","Great Western Mountain","6.9666667","80.6938889","Nuwara Eliya","mountain","Wikidata","Q20987409","https://www.wikidata.org/wiki/Q20987409","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q25638217-ratnapura","Abhayathilakarathnaramaya","6.7781111","80.3667778","Ratnapura","Buddhist temple","Wikidata","Q25638217","https://www.wikidata.org/wiki/Q25638217","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q3070381-trincomalee","Fort Fredrick","8.5752778","81.2413889","Trincomalee","fort","Wikidata","Q3070381","https://www.wikidata.org/wiki/Q3070381","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20987429-ampara","Magul Maha Viharaya","6.86744","81.736836","Ampara","Buddhist temple","Wikidata","Q20987429","https://www.wikidata.org/wiki/Q20987429","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16938356-anuradhapura","Vessagiri","8.35","80.3833","Anuradhapura","archaeological site","Wikidata","Q16938356","https://www.wikidata.org/wiki/Q16938356","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q126653340-badulla","Mini World's End","7.11017","81.15917","Badulla","scenic viewpoint","Wikidata","Q126653340","https://www.wikidata.org/wiki/Q126653340","CC0 1.0","dup-dbe98b711716","osm-node-4611099090-badulla","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-node-4611099090-badulla; retained as supporting source evidence."
"wikidata-Q1849425-batticaloa","Batticaloa Fort","7.711901","81.702377","Batticaloa","fort","Wikidata","Q1849425","https://www.wikidata.org/wiki/Q1849425","CC0 1.0","dup-98f8e72471ed","osm-way-219872503-batticaloa","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-way-219872503-batticaloa; retained as supporting source evidence."
"wikidata-Q16979801-colombo","Isipathanaramaya Temple","6.8888","79.8656","Colombo","Buddhist temple|temple","Wikidata","Q16979801","https://www.wikidata.org/wiki/Q16979801","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708383-gampaha","Malwana Fort","6.925593","80.022208","Gampaha","fort","Wikidata","Q18708383","https://www.wikidata.org/wiki/Q18708383","CC0 1.0","","","unreviewed","","","","","","",""
